"bkblk","bknwy","bkon8","bkona","bkspr","bkxbq","bkxcr","bkxwp","blxwp","bxqsq","cntxt","dsopp","dwipd","hdchk","katri","mulch","qxmsq","r2ar8","reskd","reskr","rimmx","rkxwp","rxmsq","simpl","skach","skewr","skrxp","spcop","stlmt","thrsk","wkcti","wkna8","wknck","wkovl","wkpos","wtoeg","class"
"f","f","f","f","f","f","t","t","t","t","t","t","l","f","n","f","f","t","f","f","f","f","t","f","f","t","f","f","f","f","f","f","t","t","f","n",0
"f","f","f","f","f","f","t","t","t","t","f","t","l","f","n","f","f","t","f","f","f","f","t","f","f","t","f","f","f","f","f","t","t","t","f","n",0
"f","f","f","f","f","t","t","f","f","t","t","t","l","f","w","f","f","t","f","f","f","f","f","f","f","t","f","f","f","f","f","f","t","t","f","n",0
"f","f","f","f","f","t","t","f","f","t","t","t","l","f","n","f","f","t","f","f","f","f","t","f","f","t","f","f","f","f","f","f","t","t","f","n",0
"f","f","f","f","f","t","t","f","f","t","t","t","l","f","n","f","t","t","f","t","f","f","t","t","f","t","f","f","f","f","f","f","f","t","t","n",0
"f","f","f","f","f","t","t","f","f","t","t","t","l","f","n","f","t","t","f","f","f","f","t","f","f","t","f","f","f","f","f","f","f","t","t","n",0
"f","f","f","f","f","t","t","f","f","t","t","t","l","f","n","f","t","t","f","t","f","f","t","f","f","t","f","f","f","f","f","f","f","t","t","n",0
"f","f","f","f","f","t","t","f","f","t","t","t","l","f","n","f","t","f","f","f","f","f","t","f","f","t","f","f","f","f","f","f","t","t","t","n",0
"f","t","f","f","f","f","f","f","f","t","f","t","l","f","n","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","t","t","n",0
"f","t","f","f","f","f","f","f","f","t","f","t","l","f","n","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","f","t","n",0
"f","f","t","f","f","f","t","t","t","t","f","f","g","f","n","f","f","t","f","f","f","f","f","t","f","t","f","f","f","f","f","f","f","f","t","t",0
"f","f","f","t","f","f","t","t","t","t","f","f","g","f","n","f","f","t","f","f","f","f","f","t","f","t","f","f","f","f","f","f","f","f","t","t",0
"f","f","t","f","t","f","t","t","t","t","f","f","g","f","n","f","f","t","f","f","f","f","f","t","f","t","f","f","f","f","f","f","f","f","t","t",0
"f","f","f","t","t","f","t","t","t","t","f","f","g","f","n","f","f","t","f","f","f","f","f","t","f","t","f","f","f","f","f","f","f","f","t","t",0
"f","f","f","f","t","f","t","t","t","t","f","f","g","f","n","f","f","t","f","f","f","f","f","f","f","t","f","f","f","f","f","f","t","f","t","t",0
"f","f","f","f","t","f","t","t","t","t","f","f","g","f","n","t","f","t","f","f","f","f","f","f","f","t","f","f","f","f","f","f","t","f","t","t",0
"f","f","f","f","t","f","t","t","t","t","f","f","g","f","n","f","f","t","f","f","f","t","f","f","f","t","f","f","f","f","f","f","t","f","t","t",0
"f","f","f","f","f","f","t","t","t","t","f","f","g","f","n","t","f","t","f","f","f","t","f","f","f","t","f","f","f","f","f","f","t","f","t","t",0
"f","f","f","f","f","f","t","t","t","t","f","f","g","f","n","f","f","t","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","t","t",0
"f","f","f","f","t","f","t","t","t","t","f","f","g","f","n","f","f","t","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","t","t","t",0
"f","f","f","f","t","f","t","t","t","t","f","f","g","f","n","f","f","t","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","t","t",0
"f","f","f","f","t","t","f","t","t","t","f","f","g","f","n","f","f","t","f","f","f","f","f","f","f","t","f","f","f","f","f","f","t","t","t","t",0
"f","f","f","f","t","t","t","t","t","t","f","f","g","f","n","f","f","t","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","t","t","t",0
"f","f","f","f","t","f","t","f","f","t","f","f","g","f","n","f","f","t","f","f","f","f","f","f","f","f","t","f","f","f","f","f","t","t","t","t",0
"f","f","f","f","f","f","f","f","f","t","f","f","g","f","n","f","t","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","t","t",0
"f","f","t","f","t","f","t","t","t","t","f","f","g","f","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","t","t",0
"f","f","f","t","t","f","t","t","t","t","f","f","g","f","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","t","t",0
"f","f","f","t","t","f","t","t","t","t","f","f","g","f","n","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","f","t","t",0
"f","f","f","f","t","f","t","t","t","t","f","f","g","f","n","f","f","t","f","f","f","t","f","f","f","f","f","f","f","f","f","f","t","f","t","t",0
"f","f","f","t","t","f","t","t","t","t","f","f","g","f","n","f","f","t","f","f","f","t","f","f","f","f","f","f","f","f","f","f","t","f","t","t",0
"f","f","f","f","t","f","t","t","t","t","f","f","g","f","n","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","t","t",0
"f","f","f","f","t","f","t","t","t","t","f","f","g","f","n","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","t",0
"f","f","f","f","t","f","t","t","t","t","f","f","g","f","n","f","f","t","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","t","t",0
"f","f","t","t","t","f","t","t","t","t","f","f","g","f","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","t","f","t","t",0
"f","f","t","f","t","f","t","t","t","t","f","f","g","f","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","t","t",0
"f","f","f","f","f","f","f","f","f","t","f","f","g","f","n","f","t","t","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","t","t","t",0
"f","f","t","f","t","t","t","f","f","t","f","f","g","f","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","f","t","t","t","t",0
"f","f","f","t","f","t","f","f","f","t","f","f","g","f","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","t","t","t",0
"f","f","f","f","t","t","t","f","f","t","f","f","g","f","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","t","t","t",0
"f","f","t","f","t","t","t","f","f","t","f","f","g","f","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","t","t","t",0
"f","f","f","t","t","t","t","t","t","t","f","f","g","f","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","t","t","t",0
"f","f","f","f","f","t","f","t","t","t","f","f","g","f","n","f","f","t","f","f","f","f","f","f","f","f","t","f","f","f","f","f","t","t","t","t",0
"f","f","f","f","t","t","f","t","t","t","f","f","g","f","n","f","f","t","f","f","f","f","f","f","f","f","t","f","f","f","f","f","t","t","t","t",0
"f","f","f","f","t","t","f","t","t","t","f","f","g","f","n","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","t","t",0
"f","f","f","f","t","t","t","t","t","t","f","f","g","f","n","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","t","t",0
"f","f","f","f","f","f","t","t","t","t","f","f","l","f","n","f","f","t","f","f","f","t","f","f","f","t","f","f","f","f","f","f","t","f","t","t",0
"f","f","f","f","t","f","t","t","t","t","f","f","l","f","n","f","f","t","f","f","f","t","f","f","f","t","f","f","f","f","f","f","t","f","t","t",0
"f","f","f","f","f","f","t","t","t","t","f","f","l","f","n","t","f","t","f","f","f","t","f","f","f","t","f","f","f","f","f","f","t","f","t","t",0
"f","f","t","f","f","f","t","t","t","t","f","f","l","f","n","f","f","f","f","f","f","f","f","t","f","t","f","f","f","f","f","f","f","f","t","t",0
"f","f","f","t","f","f","t","t","t","t","f","f","l","f","n","f","f","f","f","f","f","f","f","t","f","t","f","f","f","f","f","f","f","f","t","t",0
"f","f","t","f","t","f","t","t","t","t","f","f","l","f","n","f","f","f","f","f","f","f","f","t","f","t","f","f","f","f","f","f","f","f","t","t",0
"f","f","f","t","t","f","t","t","t","t","f","f","l","f","n","f","f","f","f","f","f","f","f","t","f","t","f","f","f","f","f","f","f","f","t","t",0
"f","f","f","f","t","f","t","t","t","t","f","f","l","f","n","f","f","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","t","f","t","t",0
"f","f","f","f","t","f","t","t","t","t","f","f","l","f","n","t","f","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","t","f","t","t",0
"f","f","f","f","f","t","f","t","t","t","f","f","l","f","n","f","f","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","t","f","t","t",0
"f","f","f","f","t","t","f","t","t","t","f","f","l","f","n","f","f","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","t","f","t","t",0
"f","f","f","f","t","t","f","t","t","t","f","f","l","f","n","f","f","f","f","f","f","f","f","f","f","t","f","f","f","t","f","f","t","f","t","t",0
"f","t","f","f","f","f","f","f","f","t","f","f","l","f","n","t","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","t","t",0
"f","t","f","f","f","f","f","f","f","t","f","f","l","f","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","t","t",0
"f","t","f","f","f","f","f","f","f","t","f","f","l","f","n","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","t",0
"f","f","t","f","f","f","t","t","t","t","f","f","l","f","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","t","t",0
"f","f","f","t","f","f","t","t","t","t","f","f","l","f","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","t","t",0
"f","f","f","f","f","f","t","t","t","t","f","f","l","f","n","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","f","t","t",0
"f","f","f","f","t","f","t","t","t","t","f","f","l","f","n","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","t","t","t",0
"f","f","f","f","t","f","t","t","t","t","f","f","l","f","n","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","f","t","t",0
"f","f","f","f","f","f","t","t","t","t","f","f","l","f","n","t","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","f","t","t",0
"f","f","f","f","t","f","t","t","t","t","f","f","l","f","n","t","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","f","t","t",0
"f","f","f","f","t","f","t","t","t","t","f","f","l","f","n","f","f","t","f","f","f","t","f","f","f","f","f","f","f","f","f","f","t","f","t","t",0
"f","f","f","f","t","f","t","t","t","t","f","f","l","f","n","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","t","t",0
"f","f","f","f","t","f","t","t","t","t","f","f","l","f","n","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","t",0
"f","f","f","f","f","f","t","t","t","t","f","f","l","f","n","f","f","t","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","t","t",0
"f","f","f","f","t","f","t","t","t","t","f","f","l","f","n","f","f","t","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","t","t",0
"f","f","t","f","f","f","t","t","t","t","f","f","l","f","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","t","f","t","t",0
"f","f","f","t","f","f","t","t","t","t","f","f","l","f","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","t","f","t","t",0
"f","f","t","f","t","f","t","t","t","t","f","f","l","f","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","t","f","t","t",0
"f","f","f","t","t","f","t","t","t","t","f","f","l","f","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","t","f","t","t",0
"f","f","t","f","f","f","t","t","t","t","f","f","l","f","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","t","t",0
"f","f","f","t","f","f","t","t","t","t","f","f","l","f","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","t","t",0
"f","f","t","f","t","f","t","t","t","t","f","f","l","f","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","t","t",0
"f","f","f","t","t","f","t","t","t","t","f","f","l","f","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","t","t",0
"f","f","f","f","t","f","t","t","t","t","f","f","l","f","n","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","f","t","t",0
"f","f","f","f","t","f","t","t","t","t","f","f","l","f","n","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","t",0
"f","f","t","f","f","t","t","f","f","t","f","f","l","f","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","f","t","t","t","t",0
"f","t","f","f","f","t","f","f","f","t","f","f","l","f","n","t","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","t","t","t",0
"f","t","f","t","f","t","f","f","f","t","f","f","l","f","n","t","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","t","t","t",0
"f","f","t","f","f","t","t","f","f","t","f","f","l","f","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","t","t","t",0
"f","t","f","f","f","t","f","f","f","t","f","f","l","f","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","t","t","t",0
"f","t","f","f","f","t","f","f","f","t","f","f","l","f","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","t","t",0
"f","t","f","t","f","t","f","f","f","t","f","f","l","f","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","t","t",0
"f","t","f","f","f","t","f","f","f","t","f","f","l","f","n","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","t","t",0
"f","t","f","f","f","t","f","f","f","t","f","f","l","f","n","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","t",0
"f","f","f","f","f","t","f","t","t","t","f","f","l","f","n","f","f","t","f","f","f","f","f","f","f","f","t","f","f","f","f","f","t","t","t","t",0
"f","f","f","f","t","t","f","t","t","t","f","f","l","f","n","f","f","t","f","f","f","f","f","f","f","f","t","f","f","f","f","f","t","t","t","t",0
"f","f","f","f","t","t","f","t","t","t","f","f","l","f","n","f","f","t","f","f","f","f","f","f","f","f","t","f","f","t","f","f","t","t","t","t",0
"f","f","f","f","f","t","t","t","t","t","f","f","l","f","n","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","t","t","t",0
"f","f","f","f","t","t","t","t","t","t","f","f","l","f","n","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","t","t","t",0
"f","f","f","f","t","t","t","t","t","t","f","f","l","f","n","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","t","t",0
"f","f","f","t","f","t","t","t","t","t","f","f","l","f","n","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","t","t","t",0
"f","f","f","f","f","t","f","t","t","t","f","f","l","f","n","f","f","f","f","f","f","f","f","f","f","f","t","f","f","f","f","f","t","f","t","t",0
"f","f","f","f","t","t","f","t","t","t","f","f","l","f","n","f","f","f","f","f","f","f","f","f","f","f","t","f","f","f","f","f","t","f","t","t",0
"f","f","f","f","f","f","f","f","f","t","f","t","g","f","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","t","t","t",0
"f","f","f","f","f","t","f","f","f","t","f","t","g","f","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","t","t","t",0
"f","t","f","f","f","f","f","f","f","t","f","t","l","f","n","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","t",0
"f","t","f","f","f","f","f","f","f","t","f","t","l","f","n","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","t","t",0
"f","t","f","f","f","f","f","f","f","t","f","t","l","f","n","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","t",0
"f","f","f","f","f","f","t","f","f","t","f","f","g","f","n","f","f","t","f","t","f","f","t","f","f","t","f","f","t","f","f","t","f","t","f","n",0
"f","f","f","f","f","f","t","f","f","t","f","f","l","f","n","f","f","t","f","t","f","f","t","f","f","t","f","f","t","f","f","t","f","t","f","n",0
"f","f","f","f","f","f","t","f","f","t","f","t","g","f","n","f","f","t","f","t","f","f","t","f","f","t","f","f","t","f","f","t","f","t","f","n",0
"f","f","f","f","f","f","t","f","f","t","f","t","l","f","n","f","f","t","f","t","f","f","t","f","f","t","f","f","t","f","f","t","f","t","f","n",0
"f","f","f","f","t","f","f","f","t","f","t","f","g","f","b","f","f","t","f","f","f","t","f","t","f","t","f","f","f","f","f","f","f","t","f","n",0
"f","f","f","t","t","f","f","f","f","f","t","f","g","f","b","f","f","t","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","t","f","n",0
"f","f","f","f","t","f","f","f","t","f","t","f","g","f","b","f","f","t","f","f","f","t","f","f","f","t","f","f","f","f","f","f","f","t","f","n",0
"f","f","f","f","f","f","f","f","f","f","f","f","g","f","b","f","f","t","f","f","f","f","f","f","f","t","f","f","f","f","t","t","f","t","f","n",0
"f","f","f","f","t","f","f","f","t","f","t","f","g","f","b","f","f","t","f","f","f","t","f","t","f","t","f","f","f","f","f","f","f","t","t","n",0
"f","f","f","f","t","f","t","f","t","f","t","f","g","f","b","f","f","t","f","f","f","t","f","t","f","t","f","f","f","f","f","f","f","t","t","n",0
"f","f","f","f","f","f","f","f","f","f","f","f","g","f","n","f","f","t","f","f","f","f","f","t","f","t","f","f","f","f","t","t","f","t","f","n",0
"f","f","f","f","f","f","f","f","f","f","f","f","g","f","n","f","f","t","f","f","f","f","f","t","f","t","f","f","f","t","f","t","f","t","f","n",0
"f","f","f","f","f","f","f","f","t","f","f","f","g","f","n","f","f","t","f","f","f","t","f","t","f","t","f","f","f","f","f","t","f","t","f","n",0
"f","f","f","f","f","f","f","f","t","f","f","f","g","f","n","f","f","t","f","f","f","t","f","f","f","t","f","f","f","f","f","t","f","t","f","n",0
"f","f","f","f","f","f","t","f","t","f","f","f","g","f","n","f","f","t","f","f","f","t","f","f","f","t","f","f","f","f","f","t","f","t","f","n",0
"t","f","f","f","f","f","f","f","f","f","f","f","g","f","b","f","f","t","f","f","f","f","f","t","f","t","f","f","f","f","f","t","f","t","f","n",0
"t","f","f","f","f","f","f","f","f","f","f","f","g","f","b","f","f","t","f","f","f","f","f","t","f","t","f","f","f","t","f","t","f","t","f","n",0
"t","f","f","f","f","f","f","f","f","f","f","f","g","f","b","f","f","t","f","f","f","f","f","f","f","t","f","f","f","f","f","t","f","t","f","n",0
"t","f","f","f","f","f","f","f","f","f","f","f","g","f","n","f","f","t","f","f","f","f","f","t","f","t","f","f","f","f","f","t","f","t","f","n",0
"t","f","f","f","f","f","f","f","f","f","f","f","g","f","n","f","f","t","f","f","f","f","f","t","f","t","f","f","f","t","f","t","f","t","f","n",0
